HomeTeam,AwayTeam,HO,DO,AW,WinningTeam
0,11, 1.72 , 18.90 , 2.23 ,11
1,7, 1.89 , 18.20 , 1.98 ,7
2,5, 1.53 , 19.70 , 2.59 ,2
3,9, 1.75 , 19.13 , 2.14 ,3
4,10, 1.88 , 19.26 , 1.98 ,10
1,13, 3.61 , 23.85 , 1.31 ,13
5,15, 1.39 , 22.09 , 3.10 ,5
6,12, 1.79 , 18.33 , 2.11 ,12
7,11, 1.43 , 20.64 , 2.92 ,11
8,14, 2.58 , 20.80 , 1.54 ,8
9,0, 1.41 , 21.13 , 3.02 ,0
2,3, 1.40 , 21.36 , 3.08 ,3
10,9, 1.51 , 20.29 , 2.64 ,9
4,8, 1.85 , 19.67 , 2.03 ,8
7,5, 2.16 , 19.91 , 1.74 ,5
11,2, 1.78 , 18.73 , 2.13 ,11
0,1, 1.61 , 20.26 , 2.74 ,1
12,14, 2.80 , 20.59 , 1.47 ,12
3,6, 1.76 , 18.65 , 2.13 ,6
13,15, 1.24 , 24.16 , 4.20 ,13
5,11, 1.35 , 23.12 , 3.35 ,5
14,7, 1.37 , 22.28 , 3.20 ,14
13,2, 1.50 , 20.32 , 2.70 ,13
6,4, 2.18 , 19.45 , 1.74 ,6
1,8, 2.75 , 20.53 , 1.52 ,8
9,12, 2.43 , 20.26 , 1.61 ,12
15,3, 1.82 , 18.09 , 2.07 ,15
0,10, 2.25 , 19.22 , 1.69 ,10
2,4, 1.81 , 19.22 , 2.08 ,2
6,8, 1.63 , 20.00 , 2.36 ,8
14,15, 1.21 , 23.93 , 4.60 ,14
9,1, 1.78 , 18.74 , 2.11 ,9
7,3, 1.75 , 19.86 , 2.16 ,7
10,13, 2.79 , 19.92 , 1.48 ,10
11,0, 1.60 , 18.63 , 2.52 ,11
5,12, 1.50 , 20.77 , 2.70 ,5
8,2, 2.15 , 19.63 , 1.76 ,8
9,7, 2.72 , 19.42 , 1.55 ,9
12,10, 1.53 , 19.82 , 2.79 ,12
15,0, 1.67 , 18.31 , 2.31 ,15
3,5, 2.46 , 20.06 , 1.59 ,5
1,11, 1.81 , 18.30 , 2.09 ,1
13,6, 1.10 , 30.22 , 7.01 ,13
14,4, 1.43 , 21.54 , 2.94 ,14
2,15, 2.01 , 18.87 , 1.86 ,2
7,12, 1.56 , 19.46 , 2.52 ,7
0,8, 1.93 , 18.01 , 1.95 ,0
4,9, 1.39 , 22.99 , 3.06 ,4
6,11, 1.49 , 21.31 , 2.72 ,11
13,14, 1.91 , 19.12 , 1.99 ,14
1,5, 3.47 , 21.26 , 1.34 ,5
10,3, 1.62 , 18.87 , 2.40 ,10
7,2, 1.54 , 19.95 , 2.59 ,7
4,1, 1.51 , 20.47 , 2.66 ,4
10,14, 2.54 , 21.22 , 1.54 ,14
8,9, 1.61 , 21.36 , 2.39 ,9
5,6, 1.42 , 21.16 , 2.96 ,5
11,13, 3.11 , 21.65 , 1.38 ,13
0,3, 2.24 , 20.37 , 1.68 ,0
12,15, 1.48 , 20.82 , 2.78 ,15
8,4, 1.81 , 19.02 , 2.06 ,4
13,1, 1.14 , 26.14 , 5.96 ,13
2,10, 1.82 , 17.78 , 2.05 ,2
11,7, 2.02 , 17.62 , 1.84 ,7
9,5, 2.38 , 19.63 , 1.61 ,9
3,15, 1.58 , 19.95 , 2.45 ,3
6,0, 1.71 , 19.52 , 2.20 ,6
14,12, 1.57 , 18.89 , 2.50 ,14
5,0, 1.22 , 26.80 , 4.46 ,5
15,1, 1.38 , 21.36 , 3.14 ,1
3,13, 2.67 , 19.82 , 1.51 ,13
11,10, 2.16 , 19.07 , 1.73 ,10
9,6, 2.23 , 20.24 , 1.69 ,9
2,14, 2.78 , 21.38 , 1.48 ,14
7,8, 1.62 , 20.36 , 2.38 ,7
12,4, 1.33 , 22.67 , 3.43 ,4
15,6, 1.78 , 18.22 , 2.12 ,15
1,2, 2.08 , 19.60 , 1.80 ,2
9,14, 2.90 , 20.54 , 1.44 ,14
8,3, 1.69 , 19.40 , 2.26 ,3
10,0, 1.39 , 21.42 , 3.13 ,10
12,11, 1.59 , 19.21 , 2.46 ,12
7,13, 2.24 , 19.88 , 1.69 ,13
4,5, 2.44 , 18.84 , 1.62 ,5
0,7, 1.89 , 17.95 , 1.95 ,7
3,2, 1.48 , 19.91 , 2.75 ,2
11,4, 1.82 , 18.04 , 2.05 ,11
15,9, 1.63 , 18.63 , 2.38 ,15
6,1, 1.65 , 19.65 , 2.33 ,6
14,5, 1.54 , 19.77 , 2.55 ,5
8,10, 1.81 , 18.49 , 2.06 ,8
13,12, 1.62 , 20.49 , 2.46 ,13
14,13, 2.12 , 16.97 , 1.81 ,14
14,5, 1.81 , 17.57 , 2.10 ,14
13,10, 1.34 , 20.52 , 3.43 ,13
5,4, 1.25 , 25.04 , 4.08 ,5
10,3, 1.73 , 19.56 , 2.16 ,10
12,4, 1.30 , 22.74 , 3.70 ,4
14,10, 1.62 , 19.22 , 2.39 ,14
3,6, 1.80 , 19.48 , 2.08 ,3
